(PDH-CSV 4.0) (Hora oficial do Brasil)(180);\\LAPTOP-04CTIBD7\Informações do Processador(_Total)\% de Utilitário do Processador;\\LAPTOP-04CTIBD7\Processo(node#1)\% tempo de processador;\\LAPTOP-04CTIBD7\Processo(mysqld#1)\% tempo de processador
08/12/2019 15:29:04.744; ; ; 
08/12/2019 15:29:09.687;53.074.109.947.051.700;66.580.942.540.621.200;0.63410421467258304
08/12/2019 15:29:14.688;217.958.691.841.575;38.432.432.299.476.900;40.619.643.893.756.100
08/12/2019 15:29:19.689;20.852.987.247.352.400;33.432.342.058.267.200;53.116.805.139.303.100
08/12/2019 15:29:24.694;15.674.951.798.948.900;18.419.453.724.408.000;34.341.354.401.438.700
08/12/2019 15:29:29.685;14.244.627.098.453.000;19.408.492.459.096.900;40.695.226.123.912.900
08/12/2019 15:29:34.672;20.915.871.015.259.200;29.453.345.900.094.200;15.666.673.351.113.900
08/12/2019 15:29:39.683;20.393.830.882.506.500;27.750.829.331.975.500;34.298.777.826.037.100
08/12/2019 15:29:44.689;2.194.658.677.904.020;32.149.315.614.857.900;53.061.977.228.406.200
08/12/2019 15:29:49.687;19.673.936.838.156.000;27.511.913.759.134.200;31.263.538.362.652.500
08/12/2019 15:29:54.672;20.202.812.607.984.500;27.269.531.112.712.000;65.823.006.134.132.400
08/12/2019 15:29:59.687;23.950.126.873.180.100;34.269.288.156.053.400;46.730.847.485.527.400
08/12/2019 15:30:04.686;23.329.231.288.850.600;30.630.743.264.362.000;40.632.618.615.990.400
08/12/2019 15:30:09.688;210.513.627.480.575;34.989.450.680.619.700;49.984.929.543.742.500
08/12/2019 15:30:14.688;22.745.735.266.342.400;34.686.532.939.461.600;18.749.477.264.573.800
08/12/2019 15:30:19.687;19.326.637.066.815.400;28.754.102.635.364.000;40.630.797.202.144.800
08/12/2019 15:30:24.688;17.887.842.395.037.600;24.373.017.011.335.900;24.997.966.165.472.700
08/12/2019 15:30:29.687;21.537.805.676.791.200;37.191.092.659.550.900;34.378.320.945.803.300
08/12/2019 15:30:34.686;12.429.289.001.740.300;15.001.760.006.483.900;0.93761000040524756
08/12/2019 15:30:39.672;2.042.448.999.711.540;26.640.328.654.551.100;28.207.406.810.701.100
08/12/2019 15:30:44.686;18.239.218.767.090.100;27.733.868.381.686.800;2.804.548.488.035.750
08/12/2019 15:30:49.686;14.623.629.579.040.800;21.251.936.476.451.700;12.501.139.103.795.100
08/12/2019 15:30:54.681;14.967.045.095.573.600;20.955.539.785.980.100;3.127.692.505.370.170
08/12/2019 15:30:59.685;17.979.724.753.599.500;2.404.364.305.162.740;21.857.857.319.661.300
08/12/2019 15:31:04.679;19.470.376.184.118.700;35.042.011.166.347.100;21.901.256.978.966.900
08/12/2019 15:31:09.695;69.555.865.719.660.400;59.186.505.185.744.600;18.690.475.321.814.000
08/12/2019 15:31:14.694;15.886.713.089.024.500;25.319.030.790.802.100;21.880.643.893.285.800
08/12/2019 15:31:19.684;71.557.354.362.734.300;50.094.408.924.948.100;0.93927016734277746
08/12/2019 15:31:24.685;14.607.847.277.189.900;21.246.596.295.273.400;24.995.995.641.498.200
08/12/2019 15:31:29.686;13.401.353.296.285.000;15.934.334.485.111.100;34.368.172.418.867.200
08/12/2019 15:31:34.684;17.546.522.373.336;25.638.129.799.032.600;0.93798035850119565
08/12/2019 15:31:39.693;10.558.833.890.839.600;96.698.778.080.801.100;12.477.261.687.845.300
08/12/2019 15:31:44.703;14.554.704.498.039.100;26.196.126.617.765.500;34.304.451.523.264.300
08/12/2019 15:31:49.677;97.106.642.804.794.700;87.953.383.862.200.500;0.62823845615857543
08/12/2019 15:31:54.679;10.509.865.844.890.100;84.341.115.113.591.900;21.866.215.029.449.700
08/12/2019 15:31:59.683;18.903.645.200.872.800;36.225.538.342.978.500;0.93686737093909966
08/12/2019 15:32:04.672;21.971.187.448.745.300;35.390.003.399.645.100;25.054.869.663.465.500
08/12/2019 15:32:09.680;16.358.430.125.237.800;1.778.350.932.310.140;18.719.483.498.001.500
08/12/2019 15:32:14.680;23.633.609.513.775.200;40.939.591.194.318.200;34.376.755.964.694.600
08/12/2019 15:32:19.684;18.865.804.570.327.600;3.153.260.393.820.610;21.854.279.957.172.600
08/12/2019 15:32:24.697;20.814.827.668.545.400;30.860.158.887.000.500;40.523.440.962.728.000
08/12/2019 15:32:29.696;22.524.729.370.643.000;38.447.430.202.272.600;28.132.266.001.662.900
08/12/2019 15:32:34.675;2.558.520.697.904.030;45.187.710.653.810.100;50.208.567.393.122.300
08/12/2019 15:32:39.681;19.717.574.454.728.200;22.473.650.094.736.900;31.213.402.909.356.800
08/12/2019 15:32:44.682;18.852.772.551.355.900;32.489.535.120.737.600;40.611.918.900.922.000
08/12/2019 15:32:49.681;17.116.703.198.654.300;19.067.248.889.008.200;2.188.044.954.476.360
08/12/2019 15:32:54.692;22.910.662.440.770.500;32.739.340.669.340.200;15.590.162.223.495.300
08/12/2019 15:32:59.675;17.835.621.126.400.100;19.753.581.260.318.500;43.896.847.245.152.200
08/12/2019 15:33:04.693;2.086.847.346.956.540;34.879.298.791.360.500;21.799.561.744.600.300
08/12/2019 15:33:09.687;2.719.769.222.672.370;43.804.699.804.740.100;40.675.792.675.830.100
08/12/2019 15:33:14.675;4.068.849.205.941.900;14.095.649.867.445.200;21.926.566.460.470.400
08/12/2019 15:33:19.692;42.538.988.915.317.500;302.067.648.444.737;3.736.919.362.202.930
08/12/2019 15:33:24.694;41.965.076.267.853.400;27.489.947.476.006.900;0.6247715335456131
08/12/2019 15:33:29.679;35.399.493.380.693.200;17.866.844.150.505.000;0.31345340614921158
08/12/2019 15:33:34.694;10.986.202.807.210.600;12.461.610.264.953.300;0
08/12/2019 15:33:39.682;11.788.922.325.065.300;1.472.238.528.081.830;31.324.224.001.741.000
08/12/2019 15:33:44.697;12.480.665.150.937.500;1.994.286.727.497.330;1.869.643.807.028.740
08/12/2019 15:33:49.699;45.479.339.702.012.000;24.987.914.345.347.700;0
08/12/2019 15:33:54.678;36.964.001.188.381.200;0;0
08/12/2019 15:33:59.690;89.219.704.649.069.300;17.143.783.694.454.800;0
08/12/2019 15:34:04.680;1.413.144.765.943.860;10.646.463.483.311.600;0
08/12/2019 15:34:09.693;1.234.630.756.124.780;8.728.054.528.814.920;2.182.013.632.203.730
08/12/2019 15:34:14.693;89.165.827.892.394.400;906.316.922.441.553;12.500.923.068.159.300
08/12/2019 15:34:19.684;33.512.803.386.577.200;0;0
08/12/2019 15:34:24.697;13.801.963.417.354.700;0;0
08/12/2019 15:34:29.695;51.679.625.266.298.700;0;0
